first_name,year_symposium,location_symposium,final_gender,invited
Aaron,2018,UEA,male,No
Abdulghani,2017,Exeter,male,No
Ada,2021,Leuven,female,No
Ada,2022,Nottingham,female,No
Adam,2022,Nottingham,male,No
Adrian,2014,Hull,male,No
Agnar,1999,St Andrews,male,No
Agnes,2021,Leuven,female,No
Agnes,2014,Hull,female,No
Agnes,2017,Exeter,female,No
Agnieszka,2017,Exeter,female,No
Aina,2024,Bilbao,female,No
Alain,1999,St Andrews,male,No
Alan,1982,London,male,No
Alastair,2017,Exeter,male,No
Alastair,2017,Exeter,male,No
Alba,1999,St Andrews,female,No
Alec,1990,Lancaster,male,No
Alessandro,2017,Exeter,male,No
Aletta,2016,Bangor,female,No
Alex,2009,Leicester,male,No
Alexander,2018,UEA,male,No
Alexander,2009,Leicester,male,No
Alexandra,2016,Bangor,female,No
Alexandre,2017,Exeter,male,No
Alexandrea,2021,Leuven,female,No
Alexia,2023,Essex,female,No
Alexia,2022,Nottingham,female,No
Alfonso,2024,Bilbao,male,No
Ali,2015,Plymouth,male,No
Alice,2016,Bangor,female,No
Alice,2017,Exeter,female,No
Alice,2016,Bangor,female,No
Alice,2019,Hull,female,Yes
Alice,2024,Bilbao,female,No
Alice,1999,St Andrews,female,No
Alison,2009,Leicester,female,No
Allan,2017,Exeter,male,No
Alois,1990,Lancaster,male,No
Amaia,2024,Bilbao,female,No
Amanda,2018,UEA,female,No
Amber,2023,Essex,female,No
Amelia,2018,UEA,female,No
Amemiya,1999,St Andrews,male,No
Amir,2019,Hull,male,No
Amulike,2018,UEA,male,No
Amy,2022,Nottingham,female,No
Amy,2022,Nottingham,female,No
Amy,2022,Nottingham,female,No
Amy,2023,Essex,female,No
Ana,2024,Bilbao,female,No
Ana,2015,Plymouth,female,No
Ana,2019,Hull,female,No
Ana,2019,Hull,female,No
Ana,2014,Hull,female,No
Ana,2014,Hull,female,No
Anais,2023,Essex,female,No
Andre,2024,Bilbao,male,No
Andreas,2015,Plymouth,male,No
Andrew,2017,Exeter,male,No
Andrew,1983,Stirling,male,No
Andrew,2016,Bangor,male,No
Andrew,2025,Belfast,male,No
Andrew,2012,UEA,male,No
Andrew,2017,Exeter,male,No
Andrew,2015,Plymouth,male,No
Andrew,1999,St Andrews,male,No
Andrew,2009,Leicester,male,No
Andrew,2023,Essex,male,No
Andrew,2017,Exeter,male,No
Andrew,2009,Leicester,male,Yes
Andrew,1987,Plymouth,male,No
Andrew,2017,Exeter,male,No
Andrew,2012,UEA,male,No
Andrzej,1987,Plymouth,male,No
Andy,1990,Lancaster,male,No
Andy,2025,Belfast,male,No
Ane,2024,Bilbao,female,No
Angela,2016,Bangor,female,No
Angus,2025,Belfast,male,No
Anita,2018,UEA,female,No
Ann,2016,Bangor,female,No
Anna,2022,Nottingham,female,No
Anna,1993,Conwy,female,No
Anna,2009,Leicester,female,No
Anna,1999,St Andrews,female,No
Anna,2016,Bangor,female,No
Anne,2014,Hull,female,No
Anne,2014,Hull,female,No
Anne,2017,Exeter,female,No
Anne,2022,Nottingham,female,No
Anne,2016,Bangor,female,No
Anne,2014,Hull,female,No
Anneli,2023,Essex,female,No
Annette,2009,Leicester,female,No
Annie,2017,Exeter,female,No
Annue,2022,Nottingham,female,No
Anssi,2017,Exeter,male,No
Anthony,2022,Nottingham,male,No
Anthony,2015,Plymouth,male,No
Anthony,2023,Essex,male,No
Anti,2024,Bilbao,female,No
Anton,1990,Lancaster,male,No
Antonia,2016,Bangor,female,No
Antonia,2023,Essex,female,No
Aoife,2017,Exeter,female,No
Apria,2025,Belfast,female,No
Arieh,1987,Plymouth,male,No
Arieh,1987,Plymouth,male,No
Arne,2017,Exeter,male,No
Arthur,1968,London,male,No
Asa,2017,Exeter,male,No
Ashleigh,2018,UEA,female,No
Ashley,2023,Essex,female,No
Asta,2023,Essex,female,No
Audrey,2023,Essex,female,No
Audrey,2023,Essex,female,No
Aurelien,2021,Leuven,male,No
Ava,2025,Belfast,female,No
Barbara,1987,Plymouth,female,No
Barnaby,2022,Nottingham,male,No
Barry,2015,Plymouth,male,No
Baukje,2023,Essex,female,No
Bela,1999,St Andrews,female,No
Ben,2022,Nottingham,male,No
Ben,2022,Nottingham,male,Yes
Ben,2014,Hull,male,No
Ben,2022,Nottingham,male,No
Ben,2012,UEA,male,No
Ben,2023,Essex,male,No
Ben,2021,Leuven,male,No
Benjamin,2025,Belfast,male,No
Benjamin,2023,Essex,male,No
Benjamin,2018,UEA,male,No
Benjamin,2018,UEA,male,No
Bernard,2018,UEA,male,No
Bernd,2025,Belfast,male,No
Bertil,2009,Leicester,male,No
Beth,2021,Leuven,female,No
Beth,2017,Exeter,female,Yes
Bethany,2021,Leuven,female,No
Bethany,2022,Nottingham,female,No
Beverley,1987,Plymouth,female,No
Beverly,1987,Plymouth,female,No
Bill,2009,Leicester,male,Yes
Bjarni,2024,Bilbao,male,No
Bjorn,2018,UEA,male,No
Björn,1999,St Andrews,male,No
Bob,2009,Leicester,male,Yes
Bob,1990,Lancaster,male,No
Bob,2019,Hull,male,No
Bob,1990,Lancaster,male,No
Bram,2023,Essex,male,No
Brendan,2016,Bangor,male,No
Brett,1990,Lancaster,male,No
Brett,2014,Hull,male,No
Brian,2025,Belfast,male,No
Brian,2021,Leuven,male,Yes
Brian,2017,Exeter,male,No
Brian,1982,London,male,No
Brian,2017,Exeter,male,No
Brian,1999,St Andrews,male,No
Bridie,2017,Exeter,female,No
Brit,2015,Plymouth,male,No
Broddi,1999,St Andrews,male,No
Bronwyn,2023,Essex,female,Yes
Bror,1993,Conwy,male,No
Bruce,2014,Hull,male,No
Bryony,2018,UEA,female,No
Cait,2024,Bilbao,female,No
Cait,2022,Nottingham,female,No
Caliyena,2025,Belfast,female,No
Camilla,2015,Plymouth,female,No
Camilla,2012,UEA,female,No
Carl,2015,Plymouth,male,No
Carl,2017,Exeter,male,No
Carlo,2016,Bangor,male,No
Carlos,2012,UEA,male,No
Carlos,2014,Hull,male,Yes
Carlos,1993,Conwy,male,No
Carlos,2016,Bangor,male,No
Carlotta,2015,Plymouth,female,No
Carly,2016,Bangor,female,No
Carly,2017,Exeter,female,No
Carolina,2017,Exeter,female,No
Caroline,2012,UEA,female,No
Casey,2021,Leuven,either,No
Casey,2023,Essex,either,No
Catalina,1999,St Andrews,female,No
Caterina,2019,Hull,female,No
Catherine,2022,Nottingham,female,No
Catherine,2017,Exeter,female,No
Catherine,2015,Plymouth,female,No
Catherine,1987,Plymouth,female,No
Cecilia,2015,Plymouth,female,No
Cesarino,1987,Plymouth,male,No
Charles,2017,Exeter,male,Yes
Charles,2009,Leicester,male,No
Charles,2016,Bangor,male,No
Charles,2019,Hull,male,No
Charlie,2015,Plymouth,male,No
Charlie,2021,Leuven,male,No
Chiara,2016,Bangor,female,No
Chiara,2022,Nottingham,female,No
Chloe,2018,UEA,female,No
Chloe,2017,Exeter,female,No
Chloe,2018,UEA,female,No
Chris,2022,Nottingham,male,No
Chris,1990,Lancaster,male,No
Chris,1990,Lancaster,male,No
Chris,2025,Belfast,male,No
Chris,2009,Leicester,male,No
Chris,2019,Hull,male,No
Chris,2024,Bilbao,male,No
Chris,2022,Nottingham,male,No
Chris,2019,Hull,male,Yes
Christian,2025,Belfast,male,No
Christina,2022,Nottingham,female,Yes
Christoff,2009,Leicester,male,No
Christoph,2019,Hull,male,No
Christophe,2009,Leicester,male,No
Christopher,2018,UEA,male,No
Christopher,2017,Exeter,male,No
Christopher,1999,St Andrews,male,No
Christopher,2015,Plymouth,male,No
Christopher,2018,UEA,male,No
Christopher,2019,Hull,male,No
Christos,2021,Leuven,male,No
Chrystelle,2017,Exeter,female,No
Ciar,2019,Hull,male,No
Clair,1993,Conwy,male,Yes
Clara,2017,Exeter,female,No
Clare,2019,Hull,female,No
Clare,2015,Plymouth,female,No
Clarisse,2017,Exeter,female,No
Clark,1999,St Andrews,male,No
Claudia,2016,Bangor,female,No
Claudio,2019,Hull,male,No
Claudio,2025,Belfast,male,No
Clemency,2022,Nottingham,female,No
Clement,2022,Nottingham,male,No
Clive,2021,Leuven,male,No
Clive,2017,Exeter,male,No
Clive,2023,Essex,male,No
Clive,2015,Plymouth,male,No
Colin,2023,Essex,male,No
Colin,1983,Stirling,male,No
Colin,2025,Belfast,male,No
Colin,1983,Stirling,male,No
Colin,2023,Essex,male,No
Colin,1983,Stirling,male,No
Colin,2017,Exeter,male,No
Conor,2009,Leicester,male,No
Cosmas,1999,St Andrews,male,No
Courtney,2014,Hull,female,No
Craig,1987,Plymouth,male,No
Craig,2009,Leicester,male,No
Craig,2024,Bilbao,male,No
Craig,1999,St Andrews,male,No
Craig,2025,Belfast,male,No
Craig,2016,Bangor,male,Yes
Cristina,2019,Hull,female,No
Cristina,2024,Bilbao,female,No
Cristina,2017,Exeter,female,No
Cynthia,2015,Plymouth,female,No
Damianos,2024,Bilbao,male,No
Daniel,2009,Leicester,male,No
Daniel,2021,Leuven,male,No
Daniel,2017,Exeter,male,No
Daniel,2015,Plymouth,male,No
Daniel,2022,Nottingham,male,No
Daniel,2022,Nottingham,male,No
Daniel,2016,Bangor,male,No
Daniel,2021,Leuven,male,Yes
Daniel,2016,Bangor,male,No
Daniel,1999,St Andrews,male,No
Daniel,2024,Bilbao,male,No
Daniel,2023,Essex,male,No
Daniel,2024,Bilbao,male,No
Daniel,2014,Hull,male,No
Daniela,2024,Bilbao,female,No
Daniele,2017,Exeter,female,No
Danielle,2012,UEA,female,No
Dareen,2015,Plymouth,female,No
Daria,2025,Belfast,female,No
Daria,2017,Exeter,female,No
Daria,2024,Bilbao,female,No
Daria,2016,Bangor,female,No
Daria,2022,Nottingham,female,No
Darren,2021,Leuven,male,No
Darryl,2022,Nottingham,male,No
Daryl,2014,Hull,male,No
David,2023,Essex,male,No
David,1972,London,male,No
David,2009,Leicester,male,Yes
David,2018,UEA,male,No
David,2025,Belfast,male,No
David,2015,Plymouth,male,No
David,2017,Exeter,male,No
David,2018,UEA,male,No
David,1983,Stirling,male,No
David,2015,Plymouth,male,No
David,2024,Bilbao,male,No
David,2017,Exeter,male,No
David,1990,Lancaster,male,No
David,2012,UEA,male,Yes
David,2018,UEA,male,No
David,2023,Essex,male,Yes
David,2025,Belfast,male,No
David,1990,Lancaster,male,Yes
David,2023,Essex,male,No
David,2018,UEA,male,Yes
Deborah,1987,Plymouth,female,No
Debra,1987,Plymouth,female,No
Declan,2014,Hull,male,No
Deiene,2017,Exeter,female,No
Deirdre,2018,UEA,female,No
Demetra,2023,Essex,female,No
Demetra,2019,Hull,female,No
Denise,2022,Nottingham,female,No
